
Mass percent Group : yasumoto Sample : ND0209_150423g Page 1 

 No. SiO2 TiO2 Al2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O Total Comment
 1 41.607 0.094 22.993 0 14.163 0.537 15.018 5.876 0.071 0 100.359 Grt1 
 2 41.073 0 23.134 0.007 13.976 0.603 15.175 6.032 0.021 0.002 100.023 Grt2 
 3 41.539 0.228 22.757 0.026 12.564 0.616 14.438 6.195 0 0.017 98.380 Grt3 
 4 41.161 0.094 23.205 0.009 13.829 0.562 14.946 5.918 0.073 0.009 99.806 Grt4 
 5 41.664 0.154 23.165 0.014 14.895 0.636 15.069 6.124 0.015 0 101.736 Grt5 
 6 41.687 0.007 23.463 0 14.746 0.579 15.063 6.103 0.052 0.013 101.713 Grt6 
 7 41.098 0.114 22.910 0.005 14.601 0.535 14.782 6.075 0 0.002 100.122 Grt7 
 8 41.669 0 22.852 0.031 15.307 0.555 14.627 5.880 0.046 0 100.967 Grt8 
 9 41.372 0.240 23.063 0.042 15.934 0.504 14.533 6.042 0.013 0 101.743 Grt9 
 10 40.998 0.187 23.138 0.028 16.862 0.430 14.033 6.167 0.050 0.003 101.896 Grt10 
 11 40.868 0.047 22.777 0.169 17.432 0.352 12.950 6.790 0.079 0 101.464 Grt11 
 12 40.653 0.167 22.340 0.070 17.219 1.086 11.393 7.448 0.059 0 100.435 Grt12 
 13 40.707 0.322 22.683 0.181 17.118 0.322 10.051 10.050 0.034 0.012 101.480 Grt13 
 14 41.017 0.040 22.533 0.094 17.370 0.360 10.274 9.559 0.070 0 101.317 Grt14 
 15 40.785 0 22.407 0.070 17.296 0.402 10.345 9.101 0.020 0.028 100.454 Grt15 
 16 40.532 0.174 22.315 0.068 16.729 0.392 10.768 8.444 0.022 0.003 99.447 Grt16 
 17 40.911 0.067 22.856 0.082 18.555 0.357 10.842 8.247 0.061 0 101.978 Grt17 
 18 40.699 0.127 22.780 0.044 18.152 0.390 10.895 7.804 0.026 0 100.917 Grt18 
 19 40.395 0 22.528 0.183 17.644 0.416 11.697 8.039 0.078 0.006 100.986 Grt19 
 20 40.772 0.401 22.388 0.228 17.127 0.384 11.509 7.879 0.093 0 100.781 Grt20 
 21 40.419 0.147 22.614 0.122 17.558 0.426 10.965 8.630 0.024 0 100.905 Grt21 
 22 39.870 0 22.479 0.197 18.058 0.434 11.203 7.647 0.036 0 99.924 Grt22 
 23 40.628 0.154 22.592 0.103 17.691 0.344 10.718 8.664 0.014 0.015 100.923 Grt23 
 24 40.459 0 22.788 0.103 18.774 0.430 11.181 6.815 0.031 0 100.581 Grt24 
 25 41.005 0.307 22.782 0.075 18.534 0.380 11.003 7.631 0 0.006 101.723 Grt25 
 26 40.723 0.060 22.419 0.159 17.928 0.408 10.647 8.409 0.058 0.026 100.837 Grt26 
 27 40.258 0 22.678 0.131 18.257 0.452 10.266 8.695 0.050 0 100.787 Grt27 
 28 40.842 0.287 22.401 0.183 18.504 0.398 11.069 7.582 0 0.004 101.270 Grt28 
 29 40.623 0.247 22.652 0.152 19.243 0.348 10.424 9.060 0.026 0.006 102.781 Grt29 
 30 40.180 0.268 22.656 0.080 18.036 0.392 10.631 8.866 0.099 0.015 101.223 Grt30 
 31 40.345 0.054 22.532 0.113 17.523 0.400 9.762 9.815 0.049 0.010 100.603 Grt31 
 32 40.259 0.294 22.538 0.063 18.373 0.450 10.562 8.459 0 0 100.998 Grt32 
 33 40.182 0 22.818 0 16.676 0.435 10.255 9.697 0.039 0 100.102 Grt33 
 34 40.454 0.148 22.602 0.045 17.259 0.389 9.685 9.976 0.061 0 100.619 Grt34 
 35 40.725 0 23.014 0 17.833 0.364 9.144 10.080 0.036 0.002 101.198 Grt35 
 36 40.263 0.121 22.497 0 17.154 0.367 9.412 10.396 0.065 0.018 100.293 Grt36 
 37 40.284 0.101 22.587 0.021 18.256 0.374 9.451 9.802 0.012 0 100.888 Grt37 
 38 39.987 0.221 22.399 0.056 17.882 0.491 9.326 10.409 0.094 0 100.865 Grt38 
 39 40.346 0.175 22.538 0 17.118 0.399 9.085 10.337 0.048 0 100.046 Grt39 
 40 39.685 0.020 22.866 0 18.010 0.411 9.110 10.767 0.082 0.012 100.963 Grt40 
 41 40.481 0.161 22.546 0.031 18.776 0.352 8.853 11.114 0.050 0.004 102.368 Grt41 
 42 40.768 0.155 22.317 0 17.396 0.351 9.104 10.580 0 0 100.671 Grt42 
 43 39.980 0.060 22.194 0.031 17.373 0.461 8.700 9.870 0.045 0.005 98.719 Grt43 
 44 40.879 0 22.502 0.064 17.390 0.367 9.257 10.704 0.079 0.012 101.254 Grt44 
 45 40.215 0.081 22.427 0 16.947 0.377 9.096 10.777 0.061 0.001 99.982 Grt45 
 46 40.497 0.094 22.562 0 18.125 0.383 9.088 9.838 0.050 0.003 100.640 Grt46 
 47 40.359 0.094 22.679 0 18.675 0.521 9.571 9.657 0.005 0.022 101.583 Grt47 
 48 40.369 0.127 22.419 0.061 18.179 0.415 9.233 10.207 0.024 0 101.034 Grt48 
 49 40.477 0.101 22.852 0 18.383 0.375 9.270 9.602 0.009 0 101.069 Grt49 
 50 40.216 0.262 22.337 0.038 18.179 0.320 9.052 10.410 0.038 0.029 100.881 Grt50 
 51 40.513 0.067 22.451 0.047 17.474 0.445 9.050 10.098 0.110 0.007 100.262 Grt51 
 52 40.664 0.054 22.619 0.066 18.025 0.387 9.203 10.662 0.058 0 101.738 Grt52 
 53 40.420 0.296 22.345 0.040 16.870 0.476 9.493 9.803 0 0 99.743 Grt53 
 -----------------------------------------------------------------------------
