
Mass percent        Group : yasumoto        Sample : ND0209_150515o   Page 1 

   No.      SiO2     TiO2     Al2O3    Cr2O3    FeO      MnO      MgO      CaO      Na2O     K2O     Total     Comment
    1     54.844    0.048    9.292    0.066    4.676    0.069   10.346   15.202    5.225    0.029   99.797   150515-025-1 
    2     54.971    0.323    9.092    0.002    4.602    0.041   10.419   15.776    5.091    0.011  100.328   150515-025-2 
    3     54.666    0.193    8.698    0.106    4.263    0.033   10.515   15.542    5.117     -      99.133   150515-025-3 
    4     54.774    0.207    8.536    0.113    4.505    0.051   10.851   16.016    5.049     -     100.102   150515-025-4 
    5     54.730    0.296    8.268    0.088    4.307    0.047   10.712   15.606    5.057    0.012   99.123   150515-025-5 
    6     55.256    0.255    8.106    0.098    4.613    0.043   10.741   15.943    5.024    0.010  100.089   150515-025-6 
    7     54.555    0.440    8.677    0.108    4.555    0.073   10.227   15.626    5.193    0.006   99.460   150515-025-7 
    8     54.356    0.371   10.656    0.029    4.829    0.002    9.742   15.106    5.428    0.005  100.524   150515-027-1 
    9     54.530    0.296   10.060    0.051    4.737    0.027    9.729   15.138    5.460     -     100.028   150515-027-2 
   10     54.373    0.449   10.087    0.121    4.676    0.045   10.069   15.593    5.083    0.015  100.511   150515-028-1 
   11     54.408    0.172   10.105    0.098    4.968    0.080   10.038   15.532    5.294     -     100.695   Omp061 
   12     54.370    0.207    9.599    0.130    4.839     -      10.220   15.431    5.211     -     100.007   Omp62 
   13     54.891    0.318    9.993    0.034    4.857    0.045    9.962   14.525    5.335    0.005   99.965   150515-030-1 
   14     54.080    0.125   10.137    0.025    4.346    0.123    9.634   15.184    5.333    0.001   98.988   150515-030-2 
   15     54.449    0.159    9.998    0.096    4.633    0.055    9.867   15.438    5.381    0.033  100.109   150515-030-3 
   16     54.615    0.166   10.277    0.143    4.962    0.010    9.972   15.459    5.252    0.024  100.880   150515-030-4 
   17     54.618    0.235   10.144    0.106    4.430    0.004    9.769   15.639    5.452     -     100.397   150515-030-5 
   18     54.579    0.208   10.178    0.091    4.576    0.062    9.826   15.309    5.437     -     100.266   150515-030-6 
   19     40.879    0.355   16.279    0.094    9.729    0.092   13.774   10.385    3.474    0.608   95.669   150515-032-1 
   20     54.331    0.388   10.045    0.042    4.241    0.076    9.584   15.405    5.226    0.014   99.352   150515-032-2 
   21     54.195     -       9.830    0.057    4.362    0.094    9.800   14.851    5.363    0.054   98.606   150515-032-3 
   22     53.027    0.256   10.510    0.067    4.262    0.029    9.669   15.819    5.253    0.015   98.907   150515-032-4 
   23     54.179    0.187   10.771    0.101    4.549    0.027    9.518   15.408    5.441    0.020  100.201   150515-033-1 
   24     54.330     -      10.015    0.089    3.959    0.025    9.811   15.405    5.322    0.008   98.964   150515-033-2 
   25     54.288    0.354    9.705    0.042    4.333    0.070   10.134   15.517    5.444    0.016   99.903   150515-033-3 
   26     53.985    0.436   10.812    0.153    4.454    0.012    9.254   15.059    5.413    0.003   99.581   150515-034-1 
   27     54.172    0.187   10.346    0.106    4.595     -       9.429   15.053    5.549    0.033   99.470   150515-034-2 
